Source,Target,Type,Weight
1696085,2056295517,Undirected,1
1696085,2057725021,Undirected,1
1696085,2059795739,Undirected,2
1696085,2067639477,Undirected,1
1696085,2067748521,Undirected,4
1696085,2070297079,Undirected,2
1696085,2070875256,Undirected,1
1696085,2073310542,Undirected,1
1696085,2075197671,Undirected,2
1696085,2082057424,Undirected,1
1696085,2096797489,Undirected,1
1696085,2104277267,Undirected,6
1696085,2106193857,Undirected,1
1696085,2106238328,Undirected,1
1696085,2106702981,Undirected,20
1696085,2108082388,Undirected,1
1696085,2108267457,Undirected,2
1696085,2109040371,Undirected,7
1696085,2109540240,Undirected,14
1696085,2110064604,Undirected,1
1696085,2110164449,Undirected,3
1696085,2111065286,Undirected,1
1696085,2111216678,Undirected,5
1696085,2112911396,Undirected,1
1696085,2113954628,Undirected,2
1696085,2117423791,Undirected,1
1696085,2122741307,Undirected,1
1696085,2130618620,Undirected,1
1696085,2133464669,Undirected,1
1696085,2135647980,Undirected,1
1696085,2142561313,Undirected,7
1696085,2150173704,Undirected,7
1696085,2152777715,Undirected,2
1696085,2155899352,Undirected,1
1696085,2161952282,Undirected,1
1696085,2162189539,Undirected,1
1696085,2162737304,Undirected,1
1696085,2173746675,Undirected,1
1696085,2179325648,Undirected,2
1696085,2184924117,Undirected,1
1696085,2185712043,Undirected,2
1696085,2185712046,Undirected,1
1696085,2197900626,Undirected,1
1696085,2202875681,Undirected,1
1696085,2205511717,Undirected,2
1696085,2205516262,Undirected,2
1696085,2208656908,Undirected,1
1696085,2208675916,Undirected,1
1696085,2223597674,Undirected,1
1696085,2237998904,Undirected,1
1696085,2257764593,Undirected,2
1696085,2260107574,Undirected,1
1696085,2265462798,Undirected,1
1696085,2265578799,Undirected,2
1696085,2266051282,Undirected,1
1696085,2267398041,Undirected,1
1696085,2277751990,Undirected,8
1696085,2283306947,Undirected,1
1696085,2291085736,Undirected,2
1696085,2291463862,Undirected,4
1696085,2309194366,Undirected,10
1696085,2311636918,Undirected,1
1696085,2333406060,Undirected,1
1696085,2340782829,Undirected,1
1696085,2342414600,Undirected,2
1696085,2400484218,Undirected,1
1696236,1985955,Undirected,1
1696236,2292402355,Undirected,2
1696332,2258678973,Undirected,1
1696345,145967056,Undirected,1
1696373,144344283,Undirected,1
1696405,47829900,Undirected,1
1696487,2969311,Undirected,1
1696552,3052001,Undirected,2
1696552,144320672,Undirected,2
1696710,1727814,Undirected,1
1697127,145967056,Undirected,8
1697131,145729210,Undirected,1
1697131,150358650,Undirected,1
1697141,1808676,Undirected,3
1697211,2577481,Undirected,1
1697211,77327149,Undirected,1
1697211,2384763134,Undirected,1
1697232,2109660691,Undirected,1
1697294,145729210,Undirected,2
1697413,1727814,Undirected,5
1697413,1741521,Undirected,5
1697413,1770172,Undirected,1
1697413,1774579,Undirected,1
1697413,1789625,Undirected,2
